created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,sanitized_tweet,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,sentiment_score,sentiment
Mon Oct 02 14:37:46 +0000 2023,1708853786893271473,aqqq telat tauu infonya iii kcic buka lgi :(,0,0,0,0,in,1227586353417768967,1708853786893271473,prettykiyowooo,https://twitter.com/prettykiyowooo/status/1708853786893271473,"['aqqq', 'telat', 'tau', 'info', 'iii', 'kcic', 'buka']",1,3,2,0,1,5,5,6,-15.0,negative
Mon Oct 02 14:37:00 +0000 2023,1708853592428626339,@KeretaCepatID tanggal 3 gabisa dipesen,0,0,0,0,in,1119450290829189122,1708828277425721816,rnggadosen,https://twitter.com/rnggadosen/status/1708853592428626339,"['@keretacepatid', 'tanggal', '3', 'sen']",1,3,4,4,4,7,0,8,-4.0,negative
Mon Oct 02 14:36:55 +0000 2023,1708853572103033302,"@KeretaCepatID Alhamdulillah dapet tanggal 6 sama anak bini ð kebetulan mertua di bandung jadi skalian mampir Buat yg bingung balik ke jktnya ga ush panik ,naik kereta dari Bandung ke jkt ekonomi cuma 150rb kok ,kalo mau murah bisa naik cikuray , bandung jkt cuma 44rb ,tapi jdwl kretanya Pagi",0,0,0,0,in,1704417062473580544,1708828277425721816,HaeNde16,https://twitter.com/HaeNde16/status/1708853572103033302,"['@keretacepatid', 'alhamdulillah', 'tanggal', '6', 'anak', 'bini', '', 'mertua', 'bandung', 'skalian', 'mampir', 'bingung', 'jktnya', 'panik', 'kereta', 'bandung', 'jakarta', 'ekonomi', '150rb', 'kalo', 'murah', 'cikuray', 'bandung', 'jakarta', '44rb', 'jadwal', 'kretanya', 'pagi']",1,3,4,4,4,2,0,8,-21.0,negative
Mon Oct 02 14:36:39 +0000 2023,1708853504604086272,"@Rang_Hoki @KeretaCepatID Kalo di Padalarang lgsg naik ka feeder yg udh disediain. Kalo di Tegalluar, bisa pake kereta Commuter Bandung Raya / Garut Cibatuan, naiknya dr Stasiun Cimekar. Utk ke Cimekar bisa pesen Grab/Gojek",0,1,0,0,in,141773625,1708665234477740121,ardo_krieger,https://twitter.com/ardo_krieger/status/1708853504604086272,"['rang hoki', '@keretacepatid', 'kalo', 'padalarang', 'langsung', 'kak', 'feeder', 'ain', 'kalo', 'tegalluar', 'pakai', 'kereta', 'commuter', 'bandung', 'raya', 'garut', 'cibatuan', 'stasiun', 'cimekar', 'cimekar', 'pesan', 'grabgojek']",1,0,3,2,3,6,4,3,-10.0,negative
Mon Oct 02 14:36:29 +0000 2023,1708853464414240784,@faridzdzdz @KeretaCepatID Yawlo PR banget gak sihð¥²,0,0,0,0,in,1105339117,1708828277425721816,andinipramesthi,https://twitter.com/andinipramesthi/status/1708853464414240784,"['faridzdzdz', '@keretacepatid', 'yawlo', 'pr', 'banget', 'sih']",1,3,4,4,4,2,0,8,1.0,positive
Mon Oct 02 14:36:29 +0000 2023,1708853463940202960,@KeretaCepatID @satriafakhri_id Min muncul pemesanan maksimal h-1 gimana sih wkwkwk,0,0,0,0,in,1697951597916282880,1708838605903610336,Rancamanyar33,https://twitter.com/Rancamanyar33/status/1708853463940202960,"['@keretacepatid', 'satriafakhri id', 'min', 'muncul', 'mesan', 'maksimal', 'h1', 'sih', 'wkwkwk']",2,2,0,5,0,3,2,8,3.0,positive
Mon Oct 02 14:36:04 +0000 2023,1708853360366100603,"@KeretaCepatID Namanya.. Orang Indonesia nyebut wuzzz"" Orang berbahasa Inggris nyebut ""huzzz""  Orang Jawa nyebut ""wossss""  Aneh namanya. Gak diganti aja??""",0,0,0,0,in,229316686,1708665234477740121,Shaggy_Solo,https://twitter.com/Shaggy_Solo/status/1708853360366100603,"['@keretacepatid', 'nama', 'orang', 'indonesia', 'nyebut', 'wuzzz', 'orang', 'bahasa', 'inggris', 'nyebut', 'huzzz', 'orang', 'jawa', 'nyebut', 'wossss', 'aneh', 'nama', 'ganti']",1,3,4,4,4,1,0,8,-20.0,negative
Mon Oct 02 14:36:02 +0000 2023,1708853349045752187,@setiabudiastra @KeretaCepatID Dih main dadakan buka gitu aja donk berarti? Parah amat. Org mah dimana2 umumin dulu kek tanggal berapa dan jam berapa dibuka jadi kan bisa standby.,0,2,0,0,in,1146604129231310849,1708828277425721816,weiguang91,https://twitter.com/weiguang91/status/1708853349045752187,"['setiabudiastra', '@keretacepatid', 'dih', 'main', 'dada', 'buka', 'arti', 'parah', 'orang', 'mah', 'dimana2', 'umumin', 'kayak', 'tanggal', 'jam', 'buka', 'standby']",1,3,4,4,4,2,1,8,-19.0,negative
Mon Oct 02 14:35:43 +0000 2023,1708853272717767105,@KeretaCepatID Gendewa sih harusnya,0,0,0,0,in,1302968173520539648,727720995033915392,buukmarks,https://twitter.com/buukmarks/status/1708853272717767105,"['@keretacepatid', 'gendewa', 'sih']",1,3,4,4,4,2,0,8,0.0,neutral
Mon Oct 02 14:35:39 +0000 2023,1708853254657093879,@txttransportasi @KeretaCepatID Argo cicilan utang &amp  bunga udh jln tuh. Msh gratis aja haha,0,0,0,0,in,1317750858256240640,1708850723772108810,anakodok2009,https://twitter.com/anakodok2009/status/1708853254657093879,"['txttransportasi', '@keretacepatid', 'argo', 'cicil', 'utang', 'bunga', 'jalan', 'tuh', 'gratis', 'haha']",1,3,4,4,4,2,0,8,-3.0,negative
Mon Oct 02 14:35:39 +0000 2023,1708853253616881891,@KeretaCepatID Lho gak jadi bjir namanya,0,0,0,0,in,115364358,1708758571792621786,ptrmtb,https://twitter.com/ptrmtb/status/1708853253616881891,"['@keretacepatid', 'lho', 'bjir', 'nama']",1,3,4,4,4,2,0,8,0.0,neutral
Mon Oct 02 14:35:39 +0000 2023,1708853252555694519,@KeretaCepatID HABIS DE TADI DI REFRESHð https://t.co/jGVCaREopx,0,0,0,0,in,1576929501883207682,1708828277425721816,Nurullly21,https://twitter.com/Nurullly21/status/1708853252555694519,"['@keretacepatid', 'habis', 'deh', 'refresh']",1,3,4,4,4,2,0,8,-1.0,negative
Mon Oct 02 14:35:28 +0000 2023,1708853206862954525,"@KeretaCepatID Min saya pesan bandung Halim, eh malah yg masuk malah dari Halim duaÂ²nya itu gmn?",0,0,0,0,in,1358377176849022980,1708828277425721816,_23Ahmad,https://twitter.com/_23Ahmad/status/1708853206862954525,"['@keretacepatid', 'min', 'pesan', 'bandung', 'halim', 'eh', 'masuk', 'halim', 'dua nya']",2,2,0,5,3,6,2,3,-7.0,negative
Mon Oct 02 14:35:25 +0000 2023,1708853196117225798,@KeretaCepatID kok pesen tanggal 3  keterangannya maksmial peaan 3 hari sebelum min,0,0,0,0,in,1285816354390466560,1708828277425721816,sahasihurang,https://twitter.com/sahasihurang/status/1708853196117225798,"['@keretacepatid', 'pesan', 'tanggal', '3', 'terang', 'maksmial', 'peaan', '3', 'min']",2,2,0,5,0,7,2,1,-10.0,negative
Mon Oct 02 14:35:24 +0000 2023,1708853190190612791,@utpux @KeretaCepatID Dh paling bnr argo cahaya wkwk,0,0,0,0,in,1899420079,1708828277425721816,fullalbumwhen,https://twitter.com/fullalbumwhen/status/1708853190190612791,"['utpux', '@keretacepatid', 'dah', 'argo', 'cahaya', 'wkwk']",1,3,4,4,4,2,0,8,-3.0,negative
Mon Oct 02 14:35:08 +0000 2023,1708853122976862566,"@KeretaCepatID mimiiinnn,buat yang dari stasiun bandung,naiknya dari stasiun utara atau selatan miinn?",0,0,0,0,in,1639382115149312000,1708828277425721816,KHonmei87909,https://twitter.com/KHonmei87909/status/1708853122976862566,"['@keretacepatid', 'mimiiinnnbuat', 'stasiun', 'bandungnaiknya', 'stasiun', 'utara', 'selatan', 'miinn']",1,3,4,4,3,6,0,3,0.0,neutral
Mon Oct 02 14:35:03 +0000 2023,1708853104215789721,@KeretaCepatID Kok gl pakai bahasa cina min?,0,0,0,0,in,1146866008554008576,1708665234477740121,Dee_Bourne_,https://twitter.com/Dee_Bourne_/status/1708853104215789721,"['@keretacepatid', 'gl', 'pakai', 'bahasa', 'cina', 'min']",2,2,0,5,0,1,2,9,-4.0,negative
Mon Oct 02 14:34:50 +0000 2023,1708853050788708592,"@txttransportasi @KeretaCepatID Nungguin tiket berbayar aja deh, buat refreshing di minggu",0,0,0,0,in,1511678376184250368,1708850723772108810,pejuanghidup26,https://twitter.com/pejuanghidup26/status/1708853050788708592,"['txttransportasi', '@keretacepatid', 'tunggu', 'tiket', 'bayar', 'deh', 'refreshing', 'minggu']",1,3,4,4,4,0,8,4,-5.0,negative
Mon Oct 02 14:34:41 +0000 2023,1708853009869074719,@KeretaCepatID @ziyadhanani1 Min ... Alhamdulillah dpt..tapi nanti mau pulang lewat statsiun gambir ...kasih arahan min buat ke sttsin gambirnya...,0,1,0,0,in,105652090,1708828277425721816,rinn_n4,https://twitter.com/rinn_n4/status/1708853009869074719,"['@keretacepatid', 'ziyadhanani1', 'min', 'alhamdulillah', 'dapattapi', 'pulang', 'statsiun', 'gambir', 'kasih', 'arah', 'min', 'sttsin', 'gambir']",2,2,0,5,0,3,2,1,6.0,positive
Mon Oct 02 14:34:17 +0000 2023,1708852911642652688,@KeretaCepatID Kok begini terus si min? https://t.co/2BmlQMfnd0,0,0,0,0,in,1663704293256630272,1708828277425721816,Kecyy36,https://twitter.com/Kecyy36/status/1708852911642652688,"['@keretacepatid', 'sih', 'min']",2,2,0,5,0,3,2,1,0.0,neutral
Mon Oct 02 14:34:14 +0000 2023,1708852895964357051,"Pas registrasi hari sabtu, tapi dapet email ternyata besok. Gimana atuh min ini teh servernyað­ @KeretaCepatID https://t.co/DQBFgSEQyI",1,1,0,0,in,1456544740141195266,1708852895964357051,roswandabhr,https://twitter.com/roswandabhr/status/1708852895964357051,"['pas', 'registrasi', 'sabtu', 'email', 'nyata', 'besok', 'atuh', 'min', 'teh', 'servernya', '@keretacepatid']",2,2,0,5,0,7,2,1,1.0,positive
Mon Oct 02 14:34:08 +0000 2023,1708852871692013582,@KeretaCepatID Kok logo whoosh kaya logo sepatu ya ?,0,0,0,0,in,1556676569074380801,1708665234477740121,AdwityaAmanda,https://twitter.com/AdwityaAmanda/status/1708852871692013582,"['@keretacepatid', 'logo', 'whoosh', 'kayak', 'logo', 'sepatu', 'ya']",1,3,4,4,4,2,0,8,4.0,positive
Mon Oct 02 14:33:43 +0000 2023,1708852768386294178,@KeretaCepatID udah habis ya?,0,0,0,0,in,4164074354,1708828277425721816,bryandhito,https://twitter.com/bryandhito/status/1708852768386294178,"['@keretacepatid', 'habis', 'ya']",2,2,4,4,4,2,0,8,1.0,positive
Mon Oct 02 14:33:39 +0000 2023,1708852753068605501,@Mas_Ndaru @KeretaCepatID @dianceps Ditakutkan crank case gampang pecah ðð»,0,0,0,0,in,774938488227569664,727720995033915392,irespecthero,https://twitter.com/irespecthero/status/1708852753068605501,"['mas ndaru', '@keretacepatid', 'dianceps', 'takut', 'crank', 'case', 'gampang', 'pecah', '']",1,3,4,4,4,2,0,8,-7.0,negative
Mon Oct 02 14:33:20 +0000 2023,1708852670621258105,"@KeretaCepatID Bau bau boomer, logonya jelek min.",0,0,0,0,in,1497312360,1708665234477740121,uih_78,https://twitter.com/uih_78/status/1708852670621258105,"['@keretacepatid', 'bau', 'bau', 'boomer', 'logo', 'jelek', 'min']",1,3,4,4,4,2,0,8,-13.0,negative
Mon Oct 02 14:33:19 +0000 2023,1708852667878138119,@KeretaCepatID Ooohh jadi whoosh itu nama perusahaan keretanya (Umbrella Brand) dan nama nama ini tuh nanti jadi nama tiap rute (sub Brand).,2,4,5,60,in,1681908109261049857,727720995033915392,__Astari,https://twitter.com/__Astari/status/1708852667878138119,"['@keretacepatid', 'ooohh', 'whoosh', 'nama', 'usaha', 'kereta', 'umbrella', 'brand', 'nama', 'nama', 'tuh', 'nama', 'rute', 'sub', 'brand']",1,3,4,4,4,2,0,8,-12.0,negative
Mon Oct 02 14:33:12 +0000 2023,1708852639298207932,"@nuhundanke Waw selamat, Anda beruntung dpt memenangkan hunger games KCIC wkwk. Saya ngejar tgl 4-5-6 krn sekalian mau cuti, ternyata itu yg habis duluan hahaha",0,0,0,0,in,723491784,1708850685234807266,mrmaulaa,https://twitter.com/mrmaulaa/status/1708852639298207932,"['nuhundanke', 'wow', 'selamat', 'untung', 'menang', 'hunger', 'games', 'kcic', 'wkwk', 'ngejar', 'tanggal', '456', 'cuti', 'nyata', 'habis', 'duluan', 'hahaha']",1,3,2,0,1,5,5,6,-14.0,negative
Mon Oct 02 14:33:11 +0000 2023,1708852633136669106,@afrizalh__ @KeretaCepatID Wkwkwk travel sing wingi ngawur eh nyalip2 padahal lampu utama e  mati lol,0,0,0,0,in,312653738,1708828277425721816,novanjou,https://twitter.com/novanjou/status/1708852633136669106,"['afrizalh', '@keretacepatid', 'wkwkwk', 'travel', 'sing', 'wing', 'ngawur', 'eh', 'nyalip2', 'lampu', 'utama', 'e', 'mati', 'lol']",1,3,4,4,4,2,0,8,7.0,positive
Mon Oct 02 14:33:04 +0000 2023,1708852604938367350,@KeretaCepatID min mau nanya ini di web masih bisa tgl 3 tapi keluar pemberitahuan gabisa karna pemesanan h-1,0,0,0,0,in,1561614152161824769,1708852604938367350,zbonegyu,https://twitter.com/zbonegyu/status/1708852604938367350,"['@keretacepatid', 'min', 'web', 'tanggal', '3', 'pemberitahuan', 'mesan', 'h1']",2,2,0,5,0,7,2,1,-7.0,negative
Mon Oct 02 14:32:55 +0000 2023,1708852565860110549,"@CREC_id @KeretaCepatID dah capek2 bikin sayembara, buyar gara2 ini ð",0,0,4,61,in,72294413,1313470000850587648,deryansyah,https://twitter.com/deryansyah/status/1708852565860110549,"['crec id', '@keretacepatid', 'deh', 'capek2', 'bikin', 'sayembara', 'buyar', 'garagara', '']",1,3,4,4,4,2,0,8,0.0,neutral
Mon Oct 02 14:32:51 +0000 2023,1708852548151677239,@txttransportasi @KeretaCepatID gak kebagian terus ð,0,0,0,0,in,1636890951196246017,1708850723772108810,poyyols,https://twitter.com/poyyols/status/1708852548151677239,"['txttransportasi', '@keretacepatid', '']",1,3,4,4,4,2,0,8,0.0,neutral
Mon Oct 02 14:32:43 +0000 2023,1708852517722079514,"Kapolda Jabar Pimpin Langsung Pengamanan Kunjungan Kerja Presiden RI Joko Widodo ke KCIC Bandung  Polda jabar - Kapolda jawa barat Irjen Pol. Akhmad Wiyagus., S.I.K. M.S.I. M.M., Memimpin langsung pengamanan Kunjungan Kerja Presiden Joko Widodo ke kereta Cepat Indonesia (KCIC) https://t.co/VOR1i3a3fX",0,0,0,0,in,1608705042395336708,1708852517722079514,Sektorcitamiang,https://twitter.com/Sektorcitamiang/status/1708852517722079514,"['kapolda', 'jabar', 'pimpin', 'langsung', 'aman', 'kunjung', 'kerja', 'presiden', 'ri', 'joko', 'widodo', 'kcic', 'bandung', 'polda', 'jabar', 'kapolda', 'jawa', 'barat', 'irjen', 'pol', 'akhmad', 'wiyagus', 'siike', 'samasii', 'samasama', 'pimpin', 'langsung', 'aman', 'kunjung', 'kerja', 'presiden', 'joko', 'widodo', 'kereta', 'cepat', 'indonesia', 'kcic']",1,3,2,0,1,5,5,6,5.0,positive
Mon Oct 02 14:32:10 +0000 2023,1708852379096137765,@KeretaCepatID Min tolong pulang nya belum dapet malah habis keterangan nya https://t.co/pYbf4USEih,0,1,0,0,in,1538457349743972352,1708828277425721816,PianSeptiana8,https://twitter.com/PianSeptiana8/status/1708852379096137765,"['@keretacepatid', 'min', 'tolong', 'pulang', 'nya', 'habis', 'terang', 'nya']",2,2,0,5,0,3,2,1,-8.0,negative
Mon Oct 02 14:31:21 +0000 2023,1708852173000540664,"@txttransportasi @KeretaCepatID Dapet Halim - Bandung, Bandung - Halim tanggal 7. Lumayan ada waktu seharian buat Plesiran di Bandung",0,0,0,0,in,1582009073687748608,1708850723772108810,guardianbulwark,https://twitter.com/guardianbulwark/status/1708852173000540664,"['txttransportasi', '@keretacepatid', 'halim', 'bandung', 'bandung', 'halim', 'tanggal', '7', 'lumayan', 'plesiran', 'bandung']",1,3,4,4,3,6,0,3,-9.0,negative
Mon Oct 02 14:30:51 +0000 2023,1708852047351816324,@KeretaCepatID YaAllah yg direkomendasi namanya bagus bagus kenapa jd whoosh dahð­ð­,0,0,0,0,in,1026623396728135680,727720995033915392,fluttyfluppy,https://twitter.com/fluttyfluppy/status/1708852047351816324,"['@keretacepatid', 'yaallah', 'rekomendasi', 'nama', 'bagus', 'bagus', 'whoosh', 'dah']",1,3,4,4,4,2,0,8,-11.0,negative
Mon Oct 02 14:30:47 +0000 2023,1708852029349839196,@andinipramesthi @KeretaCepatID Yah inimah saya terdampar nnti planga plongo baliknya gmna :((,0,0,0,0,in,1109306400675487744,1708828277425721816,nasejap,https://twitter.com/nasejap/status/1708852029349839196,"['andinipramesthi', '@keretacepatid', 'ya', 'inimah', 'dampar', 'planga', 'plongo']",1,3,4,4,4,2,0,8,4.0,positive
Mon Oct 02 14:30:40 +0000 2023,1708851998622437547,"@txttransportasi @KeretaCepatID alhamdulillah dapet, walaupun berangkat turun tegalluar, baliknya dari bandungð",0,0,0,0,in,1089559880208285697,1708850723772108810,afnanboma10,https://twitter.com/afnanboma10/status/1708851998622437547,"['txttransportasi', '@keretacepatid', 'alhamdulillah', 'berangkat', 'turun', 'tegalluar', 'bandung']",1,3,4,4,3,6,0,3,-3.0,negative
Mon Oct 02 14:30:23 +0000 2023,1708851928644665402,@KeretaCepatID Etmin @KeretaCepatID belum dpt tiket balik nyað©ð­ bandung - halim tgl 5 dong minnn 1 tiket ð­ð­ð­ð­ð¢ð¢ð¢ð¢,0,0,0,0,in,1571126546844491777,1708828277425721816,veautifulchuu,https://twitter.com/veautifulchuu/status/1708851928644665402,"['@keretacepatid', 'etmin', '@keretacepatid', 'tiket', 'nya', 'bandung', 'halim', 'tanggal', '5', 'minnn', '1', 'tiket', '']",2,2,4,4,3,0,8,4,-5.0,negative
Mon Oct 02 14:30:19 +0000 2023,1708851913041842255,"@segiatera @KeretaCepatID gue juga tau, kan gue bilangnya PP. Ya daftar dua kali",0,1,0,0,in,1582009073687748608,1708846610317533447,guardianbulwark,https://twitter.com/guardianbulwark/status/1708851913041842255,"['segiatera', '@keretacepatid', 'gue', 'tau', 'gue', 'bilang', 'pp', 'ya', 'daftar', 'kali']",1,3,4,4,4,2,0,8,-3.0,negative
Mon Oct 02 14:30:16 +0000 2023,1708851898516938972,@KeretaCepatID Jelek sungguh,0,0,0,2,in,48349770,1708665234477740121,gunyugunyuta,https://twitter.com/gunyugunyuta/status/1708851898516938972,"['@keretacepatid', 'jelek', 'sungguh']",1,3,4,4,4,2,0,8,-6.0,negative
Mon Oct 02 14:30:10 +0000 2023,1708851875716776033,@KeretaCepatID Min kata berita sampai pertengahan Oktober ? Kenapa hanya sampai tgl 7 Okt?,0,0,0,0,in,1120921081278107649,1708828277425721816,heliandri2020,https://twitter.com/heliandri2020/status/1708851875716776033,"['@keretacepatid', 'min', 'berita', 'oktober', 'tanggal', '7', 'okt']",2,2,0,5,0,7,2,1,-8.0,negative
Mon Oct 02 14:29:56 +0000 2023,1708851815167799606,"@txttransportasi @KeretaCepatID Seperti biasa, infonya udah kayak tahu bulat. Dadakan. ð",0,0,0,6,in,39198590,1708850723772108810,fazri91,https://twitter.com/fazri91/status/1708851815167799606,"['txttransportasi', '@keretacepatid', 'info', 'kayak', 'bulat', 'dada', '']",1,3,4,4,4,2,0,8,-9.0,negative
Mon Oct 02 14:29:47 +0000 2023,1708851778689945664,@KeretaCepatID ngooWhoos juga beban biayanya kan? 80 th itu tanggungan 4 generasi mendatang lho gilak bener,0,0,0,0,in,330865816,1708698078696681837,QOBILTUMAN,https://twitter.com/QOBILTUMAN/status/1708851778689945664,"['@keretacepatid', 'ngoowhoos', 'beban', 'biaya', '80', 'tanggung', '4', 'generasi', 'lho', 'gila']",1,3,4,4,4,2,0,8,-14.0,negative
Mon Oct 02 14:29:33 +0000 2023,1708851717432054105,@KeretaCepatID min buat besok mesen hari ini harusnya bisa kan? udah mesen tapi belom dapet email buat tanggal 3,0,0,0,0,in,577979178,1708851717432054105,annisamarcela_,https://twitter.com/annisamarcela_/status/1708851717432054105,"['@keretacepatid', 'min', 'besok', 'mesen', 'mesen', 'email', 'tanggal', '3']",2,2,0,5,0,7,2,1,-4.0,negative
Mon Oct 02 14:29:11 +0000 2023,1708851625882960292,@KeretaCepatID Akhirnya dapet juga tiket nya PP lagi...,0,1,0,0,in,141240874,1708828277425721816,Bhaconk,https://twitter.com/Bhaconk/status/1708851625882960292,"['@keretacepatid', 'tiket', 'nya', 'pp']",2,2,4,4,4,0,8,4,0.0,neutral
Mon Oct 02 14:29:07 +0000 2023,1708851610955506066,@KeretaCepatID kerjaan boomer mesti ni makanya jd wussssss. nyebutnya aj bikin malu,0,0,0,0,in,49294852,727720995033915392,thXander,https://twitter.com/thXander/status/1708851610955506066,"['@keretacepatid', 'kerja', 'boomer', 'mesti', 'nih', 'wussssss', 'nyebutnya', 'bikin', 'malu']",1,3,4,4,4,2,0,8,-5.0,negative
Mon Oct 02 14:28:44 +0000 2023,1708851511978287441,"@txttransportasi @KeretaCepatID Akhirnya dpt, tp Bandung-Halim ke Halim-Bandung udh habis. Tinggal bli tiket KA Serayu pagi hari biar bisa makan siang di Bandung. hehe.",0,0,0,0,in,1224492270579118080,1708850723772108810,johanstravel,https://twitter.com/johanstravel/status/1708851511978287441,"['txttransportasi', '@keretacepatid', 'bandunghalim', 'halim bandung', 'habis', 'tinggal', 'beli', 'tiket', 'kak', 'rayu', 'pagi', 'biar', 'makan', 'siang', 'bandung', 'hehe']",1,0,3,2,2,6,8,4,-21.0,negative
Mon Oct 02 14:28:35 +0000 2023,1708851475517243868,@novanjou @KeretaCepatID Wes numpak Jackal ae pakk ð¤£,0,1,0,0,in,328274913,1708828277425721816,afrizalh__,https://twitter.com/afrizalh__/status/1708851475517243868,"['novanjou', '@keretacepatid', 'wes', 'numpak', 'jackal', 'pakk', '']",1,3,4,4,4,2,0,8,0.0,neutral
Mon Oct 02 14:28:17 +0000 2023,1708851401512931335,@KeretaCepatID Trus kok jadi whoosh? Pdhl itu namanya keren keren loh,0,0,0,0,in,1675832506430656512,727720995033915392,HEBlHlMESAMA,https://twitter.com/HEBlHlMESAMA/status/1708851401512931335,"['@keretacepatid', 'whoosh', 'nama', 'keren', 'keren', 'loh']",1,3,4,4,4,2,0,8,0.0,neutral
Mon Oct 02 14:28:12 +0000 2023,1708851379752845556,"@nuhundanke @KeretaCepatID Bagus lah masih ada waktu 1,5 jam di bandung buat naik Argo Parahyangan",0,0,0,0,in,1696456121219989504,1708828277425721816,RizkiBarat1928,https://twitter.com/RizkiBarat1928/status/1708851379752845556,"['nuhundanke', '@keretacepatid', 'bagus', '15', 'jam', 'bandung', 'argo', 'parahyangan']",1,3,4,4,4,2,1,8,-5.0,negative
Mon Oct 02 14:27:54 +0000 2023,1708851303143854210,@KeretaCepatID Min sebenernya yg tgl 3 masih bisa dipesen ga ya? Keterangannya tersedia tapi pas submit gabisa terus hm,0,0,0,0,in,1704418837947699200,1708828277425721816,Rini1270968,https://twitter.com/Rini1270968/status/1708851303143854210,"['@keretacepatid', 'min', 'tanggal', '3', 'sen', 'ya', 'terang', 'sedia', 'pas', 'submit', 'hm']",2,2,0,5,0,7,2,1,2.0,positive
Mon Oct 02 14:27:50 +0000 2023,1708851288879047092,@KeretaCepatID Ini pembukaan daftarnya tanggal dan jam berapa sih? Masa di cek tau2 udah abis semua?,0,1,0,1,in,1146604129231310849,1708828277425721816,weiguang91,https://twitter.com/weiguang91/status/1708851288879047092,"['@keretacepatid', 'buka', 'daftar', 'tanggal', 'jam', 'sih', 'cek', 'tautau', 'habis']",1,3,4,4,4,7,1,8,-17.0,negative
Mon Oct 02 14:27:47 +0000 2023,1708851276514287617,@KeretaCepatID aneh blm ada 5 menit langsung sold,0,0,0,0,in,1306789897257115649,1708828277425721816,cynthiarzk_,https://twitter.com/cynthiarzk_/status/1708851276514287617,"['@keretacepatid', 'aneh', '5', 'menit', 'langsung', 'sold']",1,3,4,4,4,2,0,8,-1.0,negative
Mon Oct 02 14:27:30 +0000 2023,1708851204489675079,@KeretaCepatID Padahal BATARA udah bagus bgtt anjir emg proyek aneh ð­ð­ðð,0,0,0,0,in,552735984,727720995033915392,msl1896,https://twitter.com/msl1896/status/1708851204489675079,"['@keretacepatid', 'batara', 'bagus', 'banget', 'anjir', 'proyek', 'aneh', '']",1,3,4,4,4,2,0,8,-10.0,negative
Mon Oct 02 14:27:17 +0000 2023,1708851148382490977,"@alvianchoiri @KeretaCepatID Nah itulah, takut nya berbayar bukan masalah bayar nya, biasa nya cma pake pembayaran model qris....soal nya saya setia cash ð",0,0,0,0,in,1696456121219989504,1708828277425721816,RizkiBarat1928,https://twitter.com/RizkiBarat1928/status/1708851148382490977,"['alvianchoiri', '@keretacepatid', 'takut', 'nya', 'bayar', 'bayar', 'nya', 'nya', 'pakai', 'bayar', 'model', 'qrissoal', 'nya', 'setia', 'cash', '']",1,3,4,4,4,2,0,8,-12.0,negative
Mon Oct 02 14:27:06 +0000 2023,1708851103260144073,"@KeretaCepatID Waktu Hemat, Operasi Optimal, Sistem Hebat. Whoosh..  Proyek serius dgn biaya triliunan. Tp nama kesannya sebercanda ini ð",0,0,0,0,in,1381367550630457346,1708665234477740121,bawahlangitbiru,https://twitter.com/bawahlangitbiru/status/1708851103260144073,"['@keretacepatid', 'hemat', 'operasi', 'optimal', 'sistem', 'hebat', 'whoosh', 'proyek', 'serius', 'biaya', 'triliun', 'nama', 'kesan', 'canda', '']",1,3,4,4,4,2,0,8,-14.0,negative
Mon Oct 02 14:26:59 +0000 2023,1708851075426689289,@KeretaCepatID Kalau mau pulang bandung dari halim paling deket naik apa ya min? Dapatnya pergi doang,0,1,0,0,in,76026634,1708828277425721816,Ismarachma,https://twitter.com/Ismarachma/status/1708851075426689289,"['@keretacepatid', 'pulang', 'bandung', 'halim', 'ya', 'min', 'pergi', 'doang']",2,2,0,5,0,3,2,1,-1.0,negative
Mon Oct 02 14:26:58 +0000 2023,1708851068871102817,"@RizkiBarat1928 @KeretaCepatID Ya, rangakaiannya mirip (ada yang bekas) kereta bandara YIA",0,1,0,0,in,732654308,1708828277425721816,nuhundanke,https://twitter.com/nuhundanke/status/1708851068871102817,"['rizkibarat1928', '@keretacepatid', 'ya', 'rangakaiannya', 'bekas', 'kereta', 'bandara', 'yia']",1,3,4,4,4,2,0,8,-3.0,negative
Mon Oct 02 14:26:56 +0000 2023,1708851061530996843,@KeretaCepatID belum bisa masuk om,0,0,0,0,in,112760893,1708828277425721816,wintopiliang,https://twitter.com/wintopiliang/status/1708851061530996843,"['@keretacepatid', 'masuk', 'om']",1,3,4,4,4,2,0,8,-3.0,negative
Mon Oct 02 14:26:19 +0000 2023,1708850903854563411,@kiqi01 @KeretaCepatID bisa pesen 2 kali buat pp berarti yaa,0,1,0,0,in,1169291031071748096,1708828277425721816,alienmarzs,https://twitter.com/alienmarzs/status/1708850903854563411,"['kiqi01', '@keretacepatid', 'pesan', '2', 'kali', 'pp', 'arti', 'ya']",1,3,4,4,4,2,0,8,2.0,positive
Mon Oct 02 14:26:11 +0000 2023,1708850871193518178,"@andinipramesthi @KeretaCepatID Balik pake cikuray (buat yang ke bandungnya pagi) atau serayu (buat yang ke bandungnya malam)  Opsi lain, pake travel ð¤¦ââï¸",0,2,0,0,in,732654308,1708828277425721816,nuhundanke,https://twitter.com/nuhundanke/status/1708850871193518178,"['andinipramesthi', '@keretacepatid', 'pakai', 'cikuray', 'bandung', 'pagi', 'rayu', 'bandung', 'malam', 'opsi', 'pakai', 'travel', '']",1,3,4,4,4,2,0,8,-10.0,negative
